naics,enduse_cat,not_total,end_use,total,net_electricity,fuel_oil,diesel,natural_gas,NGL_HGL,coal,other
324,Direct Uses-Total Nonprocess,TRUE,Other Nonprocess Use,1.04,0.01,0,1,0.01,0.01,0.01,0
324,Direct Uses-Total Process,FALSE,Direct Uses-Total Process,805,150,3,5,609,30,8,0
324,Direct Uses-Total Process,TRUE,Electro-Chemical Processes,0.01,0.01,0,0,0,0,0,0
324,Direct Uses-Total Process,TRUE,Machine Drive,159.02,144,0.01,2,13,0.01,0,0
324,Direct Uses-Total Process,TRUE,Other Process Use,41.02,2,0.01,1,30,0.01,8,0
324,Direct Uses-Total Process,TRUE,Process Cooling and Refrigeration,8.03,7,0.01,0.01,1,0.01,0,0
324,Direct Uses-Total Process,TRUE,Process Heating,599,-2,3,2,566,30,0,0
324,End Use Not Reported,FALSE,End Use Not Reported,2324,3,0.01,0.01,104,0.01,0,2216
324,Indirect Uses-Boiler Fuel,FALSE,Indirect Uses-Boiler Fuel,358,1,1,1,349,5,1,0
324,Indirect Uses-Boiler Fuel,TRUE,CHP and/or Cogeneration Process,242.01,0,0.01,1,238,2,1,0
324,Indirect Uses-Boiler Fuel,TRUE,Conventional Boiler Use,116.01,1,1,0.01,111,3,0,0
324,TOTAL FUEL CONSUMPTION,FALSE,TOTAL FUEL CONSUMPTION,3513,167,4,11,1071,36,8,2216
325,Direct Uses-Total Nonprocess,FALSE,Direct Uses-Total Nonprocess,129.01,64,0.01,4,58,1,2,0
325,Direct Uses-Total Nonprocess,TRUE,Conventional Electricity Generation,0.03,0,0,0.25,0.01,0.01,0,0
325,Direct Uses-Total Nonprocess,TRUE,Facility HVAC,83.03,33,0.01,0.25,48,0.01,2,0
325,Direct Uses-Total Nonprocess,TRUE,Facility Lighting,21,21,0,0,0,0,0,0
325,Direct Uses-Total Nonprocess,TRUE,Onsite Transportation,5.01,1,0,3,0.01,1,0,0
325,Direct Uses-Total Nonprocess,TRUE,Other Facility Support,13.02,6,0,0.25,7,0.01,0,0
325,Direct Uses-Total Nonprocess,TRUE,Other Nonprocess Use,4.02,2,0,0.25,2,0.01,0,0
325,Direct Uses-Total Process,FALSE,Direct Uses-Total Process,1280.01,380,0.01,3,880,1,16,0
325,Direct Uses-Total Process,TRUE,Electro-Chemical Processes,58,58,0,0,0,0,0,0
325,Direct Uses-Total Process,TRUE,Machine Drive,346.02,253,0,2,91,0.01,0.01,0
325,Direct Uses-Total Process,TRUE,Other Process Use,76.01,9,0,0.33,66,1,0,0
325,Direct Uses-Total Process,TRUE,Process Cooling and Refrigeration,55.02,39,0,0.33,16,0.01,0,0
325,Direct Uses-Total Process,TRUE,Process Heating,745.02,20,0.01,0.33,708,1,16,0
325,End Use Not Reported,FALSE,End Use Not Reported,889,7,0,0.01,11,1,56,814
325,Indirect Uses-Boiler Fuel,FALSE,Indirect Uses-Boiler Fuel,1228.02,7,2,3,1053,0.02,163,0
325,Indirect Uses-Boiler Fuel,TRUE,CHP and/or Cogeneration Process,862.02,0,0.01,2,720,0.01,140,0
325,Indirect Uses-Boiler Fuel,TRUE,Conventional Boiler Use,367.01,7,2,1,333,0.01,24,0
325,TOTAL FUEL CONSUMPTION,FALSE,TOTAL FUEL CONSUMPTION,3527,458,2,10,2002,4,237,814
326,Direct Uses-Total Nonprocess,FALSE,Direct Uses-Total Nonprocess,68.05,43,0,1.04,21,3,0.01,0
326,Direct Uses-Total Nonprocess,TRUE,Conventional Electricity Generation,0.01,0,0,0.01,0,0,0,0
326,Direct Uses-Total Nonprocess,TRUE,Facility HVAC,40.02,19,0,0.01,20,1,0.01,0
326,Direct Uses-Total Nonprocess,TRUE,Facility Lighting,17,17,0,0,0,0,0,0
326,Direct Uses-Total Nonprocess,TRUE,Onsite Transportation,3.02,1,0,0.01,0.01,2,0,0
326,Direct Uses-Total Nonprocess,TRUE,Other Facility Support,5.02,4,0,0.01,1,0.01,0,0
326,Direct Uses-Total Nonprocess,TRUE,Other Nonprocess Use,3.02,2,0,1,0.01,0.01,0,0
326,Direct Uses-Total Process,FALSE,Direct Uses-Total Process,170.05,145,0,0.02,25,0.03,0,0
326,Direct Uses-Total Process,TRUE,Electro-Chemical Processes,1,1,0,0,0,0,0,0
326,Direct Uses-Total Process,TRUE,Machine Drive,99.02,98,0,0.01,1,0.01,0,0
326,Direct Uses-Total Process,TRUE,Other Process Use,2.02,2,0,0,0.01,0.01,0,0
326,Direct Uses-Total Process,TRUE,Process Cooling and Refrigeration,15.01,15,0,0,0.01,0,0,0
326,Direct Uses-Total Process,TRUE,Process Heating,52.02,29,0,0.01,23,0.01,0,0
326,End Use Not Reported,FALSE,End Use Not Reported,7,1,0,0.01,2,1,0,2.99
326,Indirect Uses-Boiler Fuel,FALSE,Indirect Uses-Boiler Fuel,48.95,1,0,0.01,42,0.02,5.92,0
326,Indirect Uses-Boiler Fuel,TRUE,CHP and/or Cogeneration Process,26.92,0,0,0,21,0.01,5.91,0
326,Indirect Uses-Boiler Fuel,TRUE,Conventional Boiler Use,22.03,1,0,0.01,21,0.01,0.01,0
326,TOTAL FUEL CONSUMPTION,FALSE,TOTAL FUEL CONSUMPTION,294,190,0,1.08,90,4,5.93,2.99
327,Direct Uses-Total Nonprocess,FALSE,Direct Uses-Total Nonprocess,49.02,16,0.01,11,21,1,0.01,0
327,Direct Uses-Total Nonprocess,TRUE,Conventional Electricity Generation,0.03,0,0,0.01,0.01,0.01,0,0
327,Direct Uses-Total Nonprocess,TRUE,Facility HVAC,27.04,8,0.01,0.01,19,0.01,0.01,0
327,Direct Uses-Total Nonprocess,TRUE,Facility Lighting,6,6,0,0,0,0,0,0
327,Direct Uses-Total Nonprocess,TRUE,Onsite Transportation,9.02,0.01,0,8,0.01,0.96,0,0
327,Direct Uses-Total Nonprocess,TRUE,Other Facility Support,4.02,2,0,0.01,2,0.01,0,0
327,Direct Uses-Total Nonprocess,TRUE,Other Nonprocess Use,2.03,0.01,0,2,0.01,0.01,0,0
327,Direct Uses-Total Process,FALSE,Direct Uses-Total Process,626.01,105,0.01,8,278,1,234,0
327,Direct Uses-Total Process,TRUE,Electro-Chemical Processes,2,2,0,0,0,0,0,0
327,Direct Uses-Total Process,TRUE,Machine Drive,77.01,64,0,4,8,0.01,1,0
327,Direct Uses-Total Process,TRUE,Other Process Use,9.01,3,0,3,3,0.01,0,0
